method_id,phase,phase_bg,primary_component,title,original_text,template_text,Z1,Z2,Z3,Z4,Z5,Z6,OSI,SSI,default_duration_min,zone_distribution,min_readiness,max_percent_tref,tags,phase_reason,source_month,microcycle,microcycle_type,day_raw
m_086,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: Крос 1-2 зона (1:00-1:10ч) или колело (1:40-2 ч) 1 зона + Силова издръжливост /силова зала/ 50 мин/3 упражнения по 3 серии за горна част, 3 упражнения по 3 серии за средна част и 2 упражнения по 3 серии за долна част","Преди обяд: Крос 1-2 зона ({време}) или колело ({време}-{часове} ч) 1 зона + Силова издръжливост /силова зала/ {мин} мин/3 упражнения по 3 серии за горна част, 3 упражнения по 3 серии за средна част и 2 упражнения по 3 серии за долна част",70.0,40.0,0.0,0.0,0.0,0.0,50.0,0.0,160.0,"{""Z1"": 70.0, ""Z2"": 40.0, ""OSI"": 50.0}",80,0.5,"крос,колело,силова",обща издръжливост/ОСИ/база,Август,МИКРОЦИКЪЛ 19,ТИП НА МИКРОЦИКЪЛА: Възстановителен,СРЯДА 27.08
m_092,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: Крос 1-2 зона (1:00-1:10ч) + Силова издръжливост /силова зала/ 50 мин/3 упражнения по 3 серии за горна част, 3 упражнения по 3 серии за средна част и 2 упражнения по 3 серии за долна част","Преди обяд: Крос 1-2 зона ({време}) + Силова издръжливост /силова зала/ {мин} мин/3 упражнения по 3 серии за горна част, 3 упражнения по 3 серии за средна част и 2 упражнения по 3 серии за долна част",70.0,40.0,0.0,0.0,0.0,0.0,50.0,0.0,160.0,"{""Z1"": 70.0, ""Z2"": 40.0, ""OSI"": 50.0}",80,0.5,"крос,силова",обща издръжливост/ОСИ/база,Август,МИКРОЦИКЪЛ 19,ТИП НА МИКРОЦИКЪЛА: Възстановителен,СРЯДА 24.09
m_097,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: Крос 1-2 зона (1:20-1:30 ч) + Силова издръжливост /силова зала/ 50 мин/3 упражнения по 3 серии за горна част, 3 упражнения по 3 серии за средна част и 2 упражнения по 3 серии за долна част","Преди обяд: Крос 1-2 зона ({време}) + Силова издръжливост /силова зала/ {мин} мин/3 упражнения по 3 серии за горна част, 3 упражнения по 3 серии за средна част и 2 упражнения по 3 серии за долна част",60.0,30.0,0.0,0.0,0.0,0.0,50.0,0.0,140.0,"{""Z1"": 60.0, ""Z2"": 30.0, ""OSI"": 50.0}",80,0.5,"крос,силова",обща издръжливост/ОСИ/база,Август,МИКРОЦИКЪЛ 19,ТИП НА МИКРОЦИКЪЛА: Възстановителен,ВТОРНИК 30.09
m_099,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: 1. Ролки - КТ ролбан 1-2 зона 5 по 1.3/2 км + 300 м зад стрелбището - 2 серии 5 по 15 сек отсечки през 2 мин и 5 мин между сериите - 20-30 мин докарване След обяд: 1. 40-50 мин бягане крос + Максимална сила /силова зала/ 50 мин/3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част","Преди обяд: 1. Ролки - КТ ролбан 1-2 зона 5 по 1.3/2 км + 300 м зад стрелбището - 2 серии {повторения} по {дължина} сек отсечки през {мин} мин и {мин} мин между сериите - {мин} мин докарване След обяд: 1. {мин} мин бягане крос + Максимална сила /силова зала/ {мин} мин/3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част",110.00000000000001,30.0,0.0,0.0,3.0,0.0,60.0,0.0,203.0,"{""Z1"": 110.0, ""Z2"": 30.0, ""Z5"": 3.0, ""OSI"": 60.0}",80,0.5,"ролки,крос,силова",обща издръжливост/ОСИ/база,Август,МИКРОЦИКЪЛ 20,ТИП НА МИКРОЦИКЪЛА: Развиващ,ПОНЕДЕЛНИК 01.09
m_107,early,1/3 до старта,OSI,Обща силова издръжливост,Преди обяд: 1. Крос 50 - 1:10 ч крос 1 зона,Преди обяд: 1. Крос 50 - {време} крос 1 зона,70.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,130.0,"{""Z1"": 70.0, ""OSI"": 60.0}",80,0.5,крос,обща издръжливост/ОСИ/база,Септемрви,МИКРОЦИКЪЛ 21,ТИП НА МИКРОЦИКЪЛА: Развиващ,СРЯДА 10.09
m_115,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: 1. Ролки - КТ ролбан 1-2 зона 5 по 2/2.5 км + 500 м зад стрелбището - 2 серии 5 по 15 сек отсечки през 2 мин и 5 мин между сериите - 10 мин докарване След обяд: 1. 30-40 мин бягане крос + Силова издръжливост /силова зала/ 50 мин/3 упражнения по 3 серии за горна част, 3 упражнения по 3 серии за средна част и 2 упражнения по 3 серии за долна част","Преди обяд: 1. Ролки - КТ ролбан 1-2 зона 5 по 2/2.5 км + 500 м зад стрелбището - 2 серии {повторения} по {дължина} сек отсечки през {мин} мин и {мин} мин между сериите - {мин} мин докарване След обяд: 1. {мин} мин бягане крос + Силова издръжливост /силова зала/ {мин} мин/3 упражнения по 3 серии за горна част, 3 упражнения по 3 серии за средна част и 2 упражнения по 3 серии за долна част",90.0,30.0,0.0,0.0,3.0,0.0,50.0,0.0,173.0,"{""Z1"": 90.0, ""Z2"": 30.0, ""Z5"": 3.0, ""OSI"": 50.0}",80,0.5,"ролки,крос,силова",обща издръжливост/ОСИ/база,Септемрви,МИКРОЦИКЪЛ 22,ТИП НА МИКРОЦИКЪЛА: Развиваш,СЪБОТА 20.09
m_120,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: 1. Ролки - КТ ролбан 1-2 зона 5 по 1.3/2 км + 300 м зад стрелбището - 2 серии 5 по 15 сек отсечки през 2 мин и 5 мин между сериите - 20-30 мин докарване След обяд: 1. Крос: 0:50-1:00 ч 1-2 зона + Максимална сила /силова зала/ 50 мин/3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част","Преди обяд: 1. Ролки - КТ ролбан 1-2 зона 5 по 1.3/2 км + 300 м зад стрелбището - 2 серии {повторения} по {дължина} сек отсечки през {мин} мин и {мин} мин между сериите - {мин} мин докарване След обяд: 1. Крос: {време} 1-2 зона + Максимална сила /силова зала/ {мин} мин/3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част",110.00000000000001,30.0,0.0,0.0,3.0,0.0,60.0,0.0,203.0,"{""Z1"": 110.0, ""Z2"": 30.0, ""Z5"": 3.0, ""OSI"": 60.0}",80,0.5,"ролки,крос,силова",обща издръжливост/ОСИ/база,Септемрви,МИКРОЦИКЪЛ 22,ТИП НА МИКРОЦИКЪЛА: Развиваш,ПОНЕДЕЛНИК 06.10
m_122,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: 1. КТ Ролки, класика: 1:40-2ч, 1-2 зона След обяд: 1. 40-50 мин крос 1-2 зона + Силова издръжливост /силова зала/ 3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част","Преди обяд: 1. КТ Ролки, класика: {време}-{часове} ч, 1-2 зона След обяд: 1. {мин} мин крос 1-2 зона + Силова издръжливост /силова зала/ 3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част",120.0,40.0,0.0,0.0,0.0,0.0,60.0,0.0,220.0,"{""Z1"": 120.0, ""Z2"": 40.0, ""OSI"": 60.0}",80,0.5,"ролки,крос,силова",обща издръжливост/ОСИ/база,Септемрви,МИКРОЦИКЪЛ 22,ТИП НА МИКРОЦИКЪЛА: Развиваш,ЧЕТВЪРТЪК 09.10
m_140,early,1/3 до старта,OSI,Обща силова издръжливост,Преди обяд: Крос - преход (2:30-3:00ч) - 1-2 зона,Преди обяд: Крос - преход ({време}) - 1-2 зона,120.0,60.0,0.0,0.0,0.0,0.0,50.0,0.0,230.0,"{""Z1"": 120.0, ""Z2"": 60.0, ""OSI"": 50.0}",80,0.5,крос,обща издръжливост/ОСИ/база,Октомври,МИКРОЦИКЪЛ 27,ТИП НА МИКРОЦИКЪЛА: Възстановителен/поддържащ,СРЯДА 22.10
m_150,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: 1. Ски - 1:40-2:20 ч 1 зона След обяд: 1. КТ 1 ч крос 1-2 зона + Силова издръжливост /силова зала/ 3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част","Преди обяд: 1. Ски - {време} 1 зона След обяд: 1. КТ {часове} ч крос 1-2 зона + Силова издръжливост /силова зала/ 3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част",160.0,50.0,0.0,0.0,0.0,0.0,60.0,0.0,270.0,"{""Z1"": 160.0, ""Z2"": 50.0, ""OSI"": 60.0}",80,0.5,"крос,ски,силова",обща издръжливост/ОСИ/база,Октомври,МИКРОЦИКЪЛ 28,ТИП НА МИКРОЦИКЪЛА: Възстановителен/поддържащ,ЧЕТВЪРТЪК 30.10
m_154,early,1/3 до старта,OSI,Обща силова издръжливост,Преди обяд: 1. Ски - 1:50-2:30 ч 1 зона След обяд: 1. КТ 1-1:20 ч. ролки 1...,Преди обяд: 1. Ски - {време} 1 зона След обяд: 1. КТ 1-{време}. ролки 1...,180.0,40.0,0.0,0.0,0.0,0.0,60.0,0.0,280.0,"{""Z1"": 180.0, ""Z2"": 40.0, ""OSI"": 60.0}",80,0.5,"ролки,ски",обща издръжливост/ОСИ/база,Ноември,МИКРОЦИКЪЛ 29,ТИП НА МИКРОЦИКЪЛА: Развиващ,ПОНЕДЕЛНИК 03.11
m_161,early,1/3 до старта,OSI,Обща силова издръжливост,Преди обяд: ...,Преди обяд: ...,120.0,0.0,0.0,0.0,3.0,0.0,60.0,0.0,183.0,"{""Z1"": 120.0, ""Z5"": 3.0, ""OSI"": 60.0}",80,0.5,,обща издръжливост/ОСИ/база,Ноември,МИКРОЦИКЪЛ 29,ТИП НА МИКРОЦИКЪЛА: Развиващ,НЕДЕЛЯ 09.11
m_164,early,1/3 до старта,OSI,Обща силова издръжливост,Преди обяд: 1. Ски - 1:30-1:40 ч 1 зона ...,Преди обяд: 1. Ски - {време} 1 зона ...,120.0,40.0,0.0,0.0,0.0,0.0,50.0,20.0,230.0,"{""Z1"": 120.0, ""Z2"": 40.0, ""OSI"": 50.0, ""SSI"": 20.0}",80,0.5,ски,обща издръжливост/ОСИ/база,Ноември,МИКРОЦИКЪЛ 29,ТИП НА МИКРОЦИКЪЛА: Развиващ,СРЯДА 12.11
m_168,early,1/3 до старта,OSI,Обща силова издръжливост,Преди обяд: 1. КТ Ски - 1:40-2 ч ...,Преди обяд: 1. КТ Ски - {време}-{часове} ч ...,90.0,30.0,0.0,0.0,0.0,0.0,60.0,0.0,180.0,"{""Z1"": 90.0, ""Z2"": 30.0, ""OSI"": 60.0}",80,0.5,ски,обща издръжливост/ОСИ/база,Ноември,МИКРОЦИКЪЛ 30,ТИП НА МИКРОЦИКЪЛА: Развиваш,ВТОРНИК 11.11
m_173,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: 1. Ски - 1:30-1:40 ч 1 зона, като 40 мин от тях горни гранници н...","Преди обяд: 1. Ски - {време} 1 зона, като {мин} мин от тях горни гранници н...",120.0,70.0,10.0,0.0,0.0,0.0,50.0,20.0,270.0,"{""Z1"": 120.0, ""Z2"": 70.0, ""Z3"": 10.0, ""OSI"": 50.0, ""SSI"": 20.0}",80,0.5,ски,обща издръжливост/ОСИ/база,Ноември,МИКРОЦИКЪЛ 30,ТИП НА МИКРОЦИКЪЛА: Развиваш,СРЯДА 18.02
m_175,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: 1. КТ ски - 20 мин загрявака; - 10 по 1 км 1 зона, като подхода преди стрелбищети (20 сек) се прави на спринт. След обяд: 1. 40-50 мин крос + Максимална сила /силова зала/ 50 мин/3 упражнения по 3 серии за горна част, 3 упражнения по 3 серии за средна част и 2 упражнения по 3 серии за долна част","Преди обяд: 1. КТ ски - {мин} мин загрявака; - {повторения} по {дължина} км 1 зона, като подхода преди стрелбищети ({сек} сек) се прави на спринт. След обяд: 1. {мин} мин крос + Максимална сила /силова зала/ {мин} мин/3 упражнения по 3 серии за горна част, 3 упражнения по 3 серии за средна част и 2 упражнения по 3 серии за долна част",120.0,0.0,0.0,0.0,3.0,0.0,60.0,0.0,183.0,"{""Z1"": 120.0, ""Z5"": 3.0, ""OSI"": 60.0}",80,0.5,"крос,ски,силова,спринт",обща издръжливост/ОСИ/база,Ноември,МИКРОЦИКЪЛ 30,ТИП НА МИКРОЦИКЪЛА: Развиваш,СЪБОТА 21.02
m_178,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: 1. Ски - 1:20-1:30 ч 1 зона След обед: 1. 15 мин крос + Силова издръжливост /силова зала/ 50 мин/3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част","Преди обяд: 1. Ски - {време} 1 зона След обед: 1. {мин} мин крос + Силова издръжливост /силова зала/ {мин} мин/3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част",120.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,170.0,"{""Z1"": 120.0, ""OSI"": 50.0}",80,0.5,"крос,ски,силова",обща издръжливост/ОСИ/база,Ноември,МИКРОЦИКЪЛ 30,ТИП НА МИКРОЦИКЪЛА: Развиваш,ПЕТЪК 24.02
m_184,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: 1. Ски - 1:30-1:40 ч 1 зона След обяд: 1. 0:40-1:00 ч крос + Силова издръжливост /силова зала/ 50 мин/3 упражнения по 3 серии за горна част, 3 упражнения по 3 серии за средна част и 2 упражнения по 3 серии за долна част","Преди обяд: 1. Ски - {време} 1 зона След обяд: 1. {време} крос + Силова издръжливост /силова зала/ {мин} мин/3 упражнения по 3 серии за горна част, 3 упражнения по 3 серии за средна част и 2 упражнения по 3 серии за долна част",120.0,40.0,0.0,0.0,0.0,0.0,50.0,20.0,230.0,"{""Z1"": 120.0, ""Z2"": 40.0, ""OSI"": 50.0, ""SSI"": 20.0}",80,0.5,"крос,ски,силова",обща издръжливост/ОСИ/база,Ноември,МИКРОЦИКЪЛ 31,ТИП НА МИКРОЦИКЪЛА: Възстановителен,СЪБОТА 22.11
m_187,early,1/3 до старта,OSI,Обща силова издръжливост,Преди обяд: Крос 1-2 зона (1:00-1:20ч) ...,Преди обяд: Крос 1-2 зона ({време}) ...,40.0,40.0,0.0,0.0,0.0,0.0,50.0,0.0,130.0,"{""Z1"": 40.0, ""Z2"": 40.0, ""OSI"": 50.0}",80,0.5,крос,обща издръжливост/ОСИ/база,Ноември,МИКРОЦИКЪЛ 32,ТИП НА МИКРОЦИКЪЛА: Развиващ,СРЯДА 26.11
m_190,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: Крос 1-2 зона (1:00-1:20ч) + Силова издръжливост /силова зала/ 50 мин/3 упражнения по 3 серии за горна част, 3 упражнения по 3 серии за средна част и 2 упражнения по 3 серии за долна част","Преди обяд: Крос 1-2 зона ({време}) + Силова издръжливост /силова зала/ {мин} мин/3 упражнения по 3 серии за горна част, 3 упражнения по 3 серии за средна част и 2 упражнения по 3 серии за долна част",40.0,40.0,0.0,0.0,0.0,0.0,50.0,0.0,130.0,"{""Z1"": 40.0, ""Z2"": 40.0, ""OSI"": 50.0}",80,0.5,"крос,силова",обща издръжливост/ОСИ/база,Ноември,МИКРОЦИКЪЛ 32,ТИП НА МИКРОЦИКЪЛА: Развиващ,СЪБОТА 29.11
m_005,early,1/3 до старта,OSI,Почивка / възстановителен ден,"1 тренировка: 1 ч крос, като който се чувства свеж след първите 20 мин прави 5-8 по 30 сек бързи отсечки, свободни без ограничения за скорост и почивка между тях. 2 тренировка: 30 мин сила","1 тренировка: {часове} ч крос, като който се чувства свеж след първите {мин} мин прави 5-{повторения} по {дължина} сек бързи отсечки, свободни без ограничения за скорост и почивка между тях. 2 тренировка: {мин} мин сила",60.0,0.0,0.0,0.0,5.0,0.0,30.0,3.0,98.0,"{""Z1"": 60.0, ""Z5"": 5.0, ""OSI"": 30.0, ""SSI"": 3.0}",80,0.5,крос,обща издръжливост/ОСИ/база,АПРИЛ,МИКРОЦИКЪЛ 1,ТИП НА МИКРОЦИКЪЛА:,ПЕТЪК 02.05
m_009,early,1/3 до старта,OSI,Почивка / възстановителен ден,"1 тренировка: Колело: 30 мин загрявка + 1:20 ч 2 зона по време на карането включете 2 по 7 мин каране в 3 зона, като почивката между отсечките е 10 тина минути леко каране. 2 тренировка: или веднага след 1 ва та тренировка 30 мин фитнес (2-3 серии 3 упражнения за ръце, три за средна част и 2 за крака, всяко упражнение се прави по 30 сек с почивка 30 сек и 3 мин между сериите)","1 тренировка: Колело: {мин} мин загрявка + {време} 2 зона по време на карането включете {повторения} по {дължина} мин каране в 3 зона, като почивката между отсечките е 10 тина минути леко каране. 2 тренировка: или веднага след 1 ва та тренировка {мин} мин фитнес (2-3 серии 3 упражнения за ръце, три за средна част и 2 за крака, всяко упражнение се прави по {сек} сек с почивка {сек} сек и {мин} мин между сериите)",40.0,50.0,14.0,0.0,0.0,0.0,30.0,0.0,134.0,"{""Z1"": 40.0, ""Z2"": 50.0, ""Z3"": 14.0, ""OSI"": 30.0}",80,0.5,"колело,фитнес",обща издръжливост/ОСИ/база,АПРИЛ,МИКРОЦИКЪЛ 3,ТИП НА МИКРОЦИКЪЛА:,ВТОРНИК
m_012,early,1/3 до старта,OSI,Почивка / възстановителен ден,"1 тренировка: 1 ч крос 1, 2 зона, като който се чувства свеж след първите 20 мин прави 4-5 по 30 сек бързи отсечки, свободни без ограничения за скорост и почивка между тях. 2 тренировка: или веднага след 1 ва та тренировка 30 мин фитнес (2-3 серии 3 упражнения за ръце, три за средна част и 2 за крака, всяко упражнение се прави по 30 сек с почивка 30 сек и 3 мин между сериите)","1 тренировка: {часове} ч крос 1, 2 зона, като който се чувства свеж след първите {мин} мин прави 4-{повторения} по {дължина} сек бързи отсечки, свободни без ограничения за скорост и почивка между тях. 2 тренировка: или веднага след 1 ва та тренировка {мин} мин фитнес (2-3 серии 3 упражнения за ръце, три за средна част и 2 за крака, всяко упражнение се прави по {сек} сек с почивка {сек} сек и {мин} мин между сериите)",30.0,30.0,0.0,0.0,3.0,0.0,30.0,3.0,96.0,"{""Z1"": 30.0, ""Z2"": 30.0, ""Z5"": 3.0, ""OSI"": 30.0, ""SSI"": 3.0}",80,0.5,"крос,фитнес",обща издръжливост/ОСИ/база,АПРИЛ,МИКРОЦИКЪЛ 3,ТИП НА МИКРОЦИКЪЛА:,ПЕТЪК
